"","name","City","Position"
"BGR","BGR","Bangor, ME","N444827 W0684941"
"BOS","BOS","Boston, MA","N422152 W0710019"
"ANC","ANC","Anchorage, AK","N611028 W1495947"
"JFK","JFK","New York, NY","N403823 W0734644"
"LAS","LAS","Las Vegas, NV","N360449 W1150908"
"MIA","MIA","Miami, FL","N254736 W0801726"
"EWR","EWR","Newark, NJ","N404133 W0741007"
"BJC","BJC","Broomfield, CO","N395432 W1050702"
"TEB","TEB","Teterboro, NJ","N405100 W0740339"
"LAX","LAX","Los Angeles, CA","N335633 W1182429"
"AEX","AEX","Alexandria, LA","N311939 W0923255"
"BFI","BFI","Seattle, WA","N473148 W1221807"
"ELM","ELM","Elmira/Corning, NY","N420936 W0765329"
"GEG","GEG","Spokane, WA","N473712 W1173202"
"ICT","ICT","Wichita, KS","N373860 W0972559"
"PBI","PBI","West Palm Beach/Palm Beach, FL","N264059 W0800544"
"PIT","PIT","Pittsburgh, PA","N402929 W0801358"
"SFO","SFO","San Francisco, CA","N373708 W1222230"
"VCT","VCT","Victoria, TX","N285109 W0965507"
"IAD","IAD","Washington, DC","N385640 W0772721"
"ABE","ABE","Allentown/Bethlehem/Easton, PA","N403909 W0752625"
"AGS","AGS","Augusta, GA","N332212 W0815752"
"AVL","AVL","Asheville, NC","N352610 W0823230"
"AVP","AVP","Scranton/Wilkes-Barre, PA","N412017 W0754327"
"BDL","BDL","Hartford, CT","N415620 W0724060"
"BHM","BHM","Birmingham, AL","N333347 W0864513"
"BNA","BNA","Nashville, TN","N360728 W0864041"
"BTR","BTR","Baton Rouge, LA","N303159 W0910859"
"BUF","BUF","Buffalo, NY","N425626 W0784356"
"BWI","BWI","Baltimore, MD","N391031 W0764006"
"CAE","CAE","Columbia, SC","N335620 W0810710"
"CAK","CAK","Akron, OH","N405459 W0812633"
"CHA","CHA","Chattanooga, TN","N350207 W0851214"
"CHO","CHO","Charlottesville, VA","N380819 W0782710"
"CHS","CHS","Charleston, SC","N325355 W0800226"
"CLE","CLE","Cleveland, OH","N412439 W0815058"
"CLT","CLT","Charlotte, NC","N351250 W0805635"
"CMH","CMH","Columbus, OH","N395953 W0825331"
"CRW","CRW","Charleston/Dunbar, WV","N382223 W0813535"
"CVG","CVG","Cincinnati, OH","N390246 W0843944"
"DAB","DAB","Daytona Beach, FL","N291048 W0810329"
"DAY","DAY","Dayton, OH","N395409 W0841310"
"DCA","DCA","Washington, DC","N385108 W0770216"
"DTW","DTW","Detroit, MI","N421245 W0832112"
"EWN","EWN","New Bern/Morehead/Beaufort, NC","N350423 W0770235"
"FAY","FAY","Fayetteville, NC","N345928 W0785249"
"GNV","GNV","Gainesville, FL","N294124 W0821618"
"GPT","GPT","Gulfport/Biloxi, MS","N302426 W0890412"
"GSO","GSO","Greensboro/High Point, NC","N360552 W0795614"
"GSP","GSP","Greenville/Spartanburg, SC","N345344 W0821308"
"HPN","HPN","White Plains, NY","N410401 W0734227"
"HSV","HSV","Huntsville, AL","N343826 W0864623"
"ILM","ILM","Wilmington, NC","N341614 W0775409"
"IND","IND","Indianapolis, IN","N394302 W0861740"
"JAN","JAN","Jackson/Vicksburg, MS","N321840 W0900433"
"LEX","LEX","Lexington, KY","N380213 W0843619"
"LGA","LGA","New York, NY","N404638 W0735221"
"LIT","LIT","Little Rock, AR","N344346 W0921328"
"MDT","MDT","Harrisburg, PA","N401137 W0764548"
"MGM","MGM","Montgomery, AL","N321802 W0862338"
"MKE","MKE","Milwaukee, WI","N425650 W0875348"
"MLB","MLB","Melbourne, FL","N280610 W0803845"
"MOB","MOB","Mobile, AL","N304129 W0881434"
"MSP","MSP","Minneapolis, MN","N445250 W0931301"
"MSY","MSY","New Orleans, LA","N295936 W0901529"
"MYR","MYR","Myrtle Beach, SC","N334047 W0785542"
"OAJ","OAJ","Jacksonville/Camp Lejeune, NC","N344945 W0773644"
"ORF","ORF","Norfolk, VA","N365341 W0761204"
"PGV","PGV","Greenville, NC","N353807 W0772307"
"PHF","PHF","Newport News/Williamsburg, VA","N370755 W0762935"
"PHL","PHL","Philadelphia, PA","N395219 W0751428"
"PNS","PNS","Pensacola, FL","N302824 W0871115"
"PWM","PWM","Portland, ME","N433846 W0701832"
"RDU","RDU","Raleigh/Durham, NC","N355240 W0784715"
"RIC","RIC","Richmond, VA","N373019 W0771911"
"ROA","ROA","Roanoke, VA","N371932 W0795832"
"SAV","SAV","Savannah, GA","N320739 W0811208"
"SDF","SDF","Louisville, KY","N381028 W0854410"
"SRQ","SRQ","Sarasota/Bradenton, FL","N272344 W0823316"
"STL","STL","St. Louis, MO","N384452 W0902136"
"SYR","SYR","Syracuse, NY","N430640 W0760623"
"TLH","TLH","Tallahassee, FL","N302348 W0842101"
"TRI","TRI","Bristol/Kngsprt/Jhnsn Cty, TN","N362831 W0822427"
"TYS","TYS","Knoxville, TN","N354845 W0835934"
"VPS","VPS","Valparaiso, FL","N302859 W0863131"
"XNA","XNA","Fayetteville, AR","N361655 W0941825"
"ALB","ALB","Albany, NY","N424453 W0734811"
"BGM","BGM","Binghamton/Endct/Jhnsn Cty, NY","N421231 W0755847"
"BTV","BTV","Burlington, VT","N442819 W0730912"
"ERI","ERI","Erie, PA","N420455 W0801034"
"FLO","FLO","Florence, SC","N341107 W0794326"
"HHH","HHH","Hilton Head, SC","N321328 W0804151"
"HTS","HTS","Ashland, WV","N382200 W0823329"
"HVN","HVN","New Haven, CT","N411550 W0725314"
"IPT","IPT","Williamsport, PA","N411431 W0765516"
"ISP","ISP","Islip, NY","N404743 W0730601"
"ITH","ITH","Ithaca/Cortland, NY","N422928 W0762730"
"LYH","LYH","Lynchburg, VA","N371936 W0791202"
"MHT","MHT","Manchester, NH","N425604 W0712613"
"PVD","PVD","Providence, RI","N414326 W0712542"
"ROC","ROC","Rochester, NY","N430708 W0774021"
"SBY","SBY","Salisbury, MD","N382026 W0753037"
"SCE","SCE","State College, PA","N405057 W0775055"
"SWF","SWF","Newburgh/Poughkeepsie, NY","N413015 W0740617"
"BFD","BFD","Bradford, PA","N414811 W0783824"
"DUJ","DUJ","Du Bois, PA","N411042 W0785355"
"EYW","EYW","Key West, FL","N243322 W0814534"
"FKL","FKL","Franklin/Oil City, PA","N412240 W0795137"
"FLL","FLL","Fort Lauderdale, FL","N260421 W0800910"
"JHW","JHW","Jamestown, NY","N420912 W0791529"
"LWB","LWB","Lewisburg, WV","N375130 W0802358"
"MCO","MCO","Orlando, FL","N282544 W0811858"
"PKB","PKB","Parkersburg, WV","N392042 W0812621"
"TPA","TPA","Tampa, FL","N275832 W0823160"
"ACT","ACT","Waco, TX","N313641 W0971350"
"AOO","AOO","Altoona, PA","N401747 W0781912"
"BHB","BHB","Bar Harbor, ME","N442659 W0682141"
"BKW","BKW","Beckley, WV","N374714 W0810727"
"BPT","BPT","Beaumont/Port Arthur, TX","N295703 W0940114"
"CKB","CKB","Clarksburg/Fairmont, WV","N391748 W0801341"
"CLL","CLL","College Station/Bryan, TX","N303519 W0962150"
"DRT","DRT","Del Rio, TX","N292222 W1005533"
"GRK","GRK","Killeen, TX","N310402 W0974944"
"IAH","IAH","Houston, TX","N295850 W0952023"
"JST","JST","Johnstown, PA","N401858 W0785002"
"LCH","LCH","Lake Charles, LA","N300734 W0931324"
"LFT","LFT","Lafayette, LA","N301219 W0915916"
"MAF","MAF","Midland/Odessa, TX","N315633 W1021207"
"MGW","MGW","Morgantown, WV","N393834 W0795459"
"MLU","MLU","Monroe, LA","N323039 W0920216"
"ORD","ORD","Chicago, IL","N415847 W0875415"
"PBG","PBG","Plattsburgh, NY","N443903 W732805"
"PQI","PQI","Presque Isle/Houlton, ME","N464120 W0680241"
"SHD","SHD","Staunton, VA","N381550 W0785347"
"SHV","SHV","Shreveport, LA","N322648 W0934932"
"TYR","TYR","Tyler, TX","N322115 W0952409"
"CID","CID","Cedar Rapids/Iowa City, IA","N415305 W0914239"
"MCI","MCI","Kansas City, MO","N391751 W0944250"
"MLI","MLI","Moline, IL","N412655 W0903027"
"MSN","MSN","Madison, WI","N430823 W0892015"
"OKC","OKC","Oklahoma City, OK","N352335 W0973603"
"OMA","OMA","Omaha, NE","N411808 W0955337"
"SBN","SBN","South Bend, IN","N414232 W0861907"
"SGF","SGF","Springfield, MO","N371440 W0932313"
"TUL","TUL","Tulsa, OK","N361154 W0955318"
"GKN","GKN","Gulkana, AK","N620918 W1452724"
"ABQ","ABQ","Albuquerque, NM","N350225 W1063633"
"ATL","ATL","Atlanta, GA","N333826 W0842537"
"AUS","AUS","Austin, TX","N301140 W0974012"
"BKG","BKG","Branson, MO","N363155 W931202"
"DEN","DEN","Denver, CO","N395130 W1044001"
"DFW","DFW","Dallas/Ft.Worth, TX","N325347 W0970215"
"HOU","HOU","Houston, TX","N293844 W0951644"
"MDW","MDW","Chicago, IL","N414710 W0874509"
"PDX","PDX","Portland, OR","N453519 W1223551"
"PHX","PHX","Phoenix, AZ","N332605 W1120035"
"PIE","PIE","St. Petersburg, FL","N275438 W0824115"
"RSW","RSW","Fort Myers, FL","N263210 W0814519"
"SAN","SAN","San Diego, CA","N324401 W1171123"
"SAT","SAT","San Antonio, TX","N293201 W0982811"
"SEA","SEA","Seattle, WA","N472656 W1221834"
"SLC","SLC","Salt Lake City, UT","N404718 W1115840"
"SMF","SMF","Sacramento, CA","N384144 W1213527"
"SNA","SNA","Santa Ana, CA","N334032 W1175206"
"TUS","TUS","Tucson, AZ","N320658 W1105628"
"ABY","ABY","Albany, GA","N313208 W0841140"
"ACY","ACY","Atlantic City, NJ","N392727 W0743438"
"BMI","BMI","Bloomington, IL","N402841 W0885457"
"DSM","DSM","Des Moines, IA","N413203 W0933945"
"FNT","FNT","Flint, MI","N425756 W0834436"
"GLH","GLH","Greenville, MS","N332858 W0905908"
"GRR","GRR","Grand Rapids, MI","N425251 W0853122"
"GTR","GTR","Columbus, MS","N332701 W0883529"
"JAX","JAX","Jacksonville, FL","N302939 W0814116"
"MEM","MEM","Memphis, TN","N350237 W0895836"
"SJU","SJU","San Juan, PR","N182622 W0660007"
"UTM","UTM","Tunica, MS","N344059 W0902050"
"GUM","GUM","Guam, TT","N132900 E1444746"
"ROP","ROP","Rota, TT","N141028 E1451433"
"SPN","SPN","Saipan, TT","N150708 E1454346"
"TIQ","TIQ","Tinian, TT","N145949 E1453705"
"PTD","PTD","Port Alexander, AK","N444036 W745654"
"SIT","SIT","Sitka, AK","N570250 W1352142"
"AMA","AMA","Amarillo, TX","N351310 W1014221"
"FSM","FSM","Fort Smith, AR","N352012 W0942203"
"GGG","GGG","Longview/Kilgor/Gladwatr, TX","N322302 W0944241"
"LAW","LAW","Lawton/Fort Sill, OK","N343404 W0982460"
"LBB","LBB","Lubbock, TX","N333949 W1014922"
"SJT","SJT","San Angelo, TX","N312128 W1002947"
"SPS","SPS","Wichita Falls, TX","N335920 W0982931"
"STT","STT","Charlotte Amalie, VI","N182014 W0645824"
"STX","STX","Christiansted, VI","N174207 W0644755"
"TXK","TXK","Texarkana, AR","N332713 W0935928"
"BOI","BOI","Boise, ID","N433352 W1161322"
"BUR","BUR","Burbank, CA","N341202 W1182131"
"HNL","HNL","Honolulu, HI","N211907 W1575521"
"KOA","KOA","Kona, HI","N194420 W1560244"
"LIH","LIH","Lihue, HI","N215834 W1592019"
"OAK","OAK","Oakland, CA","N374317 W1221315"
"OGG","OGG","Kahului, HI","N205355 W1562550"
"ONT","ONT","Ontario/San Bernardino, CA","N340322 W1173604"
"RNO","RNO","Reno, NV","N392955 W1194605"
"SJC","SJC","San Jose, CA","N372145 W1215545"
"JHM","JHM","Kapalua, HI","N205747 W1564023"
"LNY","LNY","Lanai, HI","N204708 W1565705"
"MKK","MKK","Hoolehua, HI","N210910 W1570547"
"FNR","FNR","Funter Bay Alaska, AK","N581516 W1345352"
"HOM","HOM","Homer, AK","N593844 W1512836"
"KEB","KEB","English Bay, AK","N592108 W1515531"
"PGM","PGM","Port Graham, AK","N592054 W1514954"
"SOV","SOV","Seldovia, AK","N592633 W1514215"
"AIN","AIN","Wainwright, AK","N703817 W1595941"
"ANV","ANV","Anvik, AK","N623855 W1601124"
"BTI","BTI","Barter Island, AK","N700802 W1433455"
"FAI","FAI","Fairbanks, AK","N644849 W1475135"
"FYU","FYU","Fort Yukon, AK","N663417 W1451502"
"GAL","GAL","Galena, AK","N644410 W1565615"
"KAL","KAL","Kaltag, AK","N641933 W1584439"
"KSM","KSM","St. Mary's, AK","N620338 W1631808"
"NUI","NUI","Nuiqsut, AK","N701236 W1510020"
"NUL","NUL","Nulato, AK","N644347 W1580423"
"ORV","ORV","Noorvik, AK","N664903 W1610120"
"OTZ","OTZ","Kotzebue, AK","N665305 W1623555"
"PHO","PHO","Point Hope, AK","N682056 W1664758"
"PIZ","PIZ","Point Lay, AK","N694358 W1630019"
"PPC","PPC","Prospect, AK","N664846 W1503838"
"RBY","RBY","Ruby, AK","N644338 W1552812"
"SCC","SCC","Deadhorse, AK","N701141 W1482755"
"VEE","VEE","Venetie, AK","N670031 W1462159"
"WTK","WTK","Noatak, AK","N673344 W1625831"
"A29","A29","Kiluda Bay, AK","N570308 W1352046"
"ADQ","ADQ","Kodiak, AK","N574460 W1522938"
"AKK","AKK","Akhiok, AK","N565619 W1541057"
"ALZ","ALZ","Alitak, AK","N565358 W1541452"
"AOS","AOS","Amook Bay, AK","N572817 W1534855"
"KKB","KKB","Kitoi Bay, AK","N581127 W1522214"
"KLN","KLN","Larsen Bay, AK","N573206 W1535842"
"KOZ","KOZ","Ouzinkie, AK","N575522 W1523002"
"KPR","KPR","Port Williams, AK","N582924 W1523456"
"KPY","KPY","Port Bailey, AK","N575548 W1530226"
"KWP","KWP","West Point, AK","N574612 W1533256"
"KYK","KYK","Karluk, AK","N573401 W1542701"
"KZB","KZB","Zachar Bay, AK","N573300 W1534500"
"OLH","OLH","Old Harbor, AK","N571305 W1531611"
"ORI","ORI","Port Lions, AK","N575307 W1525046"
"SYB","SYB","Seal Bay, AK","N581000 W1523000"
"UGI","UGI","Uganik, AK","N574500 W1531900"
"CGA","CGA","Craig, AK","N552844 W1330852"
"HYL","HYL","Hollis, AK","N552926 W1323725"
"KTB","KTB","Thorne Bay, AK","N554117 W1323212"
"KXA","KXA","Kasaan, AK","N553215 W1322351"
"MTM","MTM","Metlakatla, AK","N550752 W1313441"
"WFB","WFB","Ketchikan, AK","N552040 W1313948"
"WMK","WMK","Meyers Chuck, AK","N554423 W1321518"
"ZXM","ZXM","Saltery Cove, AK","N552431 W1321945"
"EAA","EAA","Eagle, AK","N644635 W1410903"
"HCR","HCR","Holy Cross, AK","N621118 W1594630"
"KGX","KGX","Grayling, AK","N625340 W1600354"
"MCG","MCG","Mcgrath, AK","N625710 W1553621"
"NIB","NIB","Nikolai, AK","N630103 W1542150"
"RQI","RQI","Nixon Fork Mine, AK","N621402 W1544405"
"SRV","SRV","Stony River, AK","N614723 W1563519"
"TCT","TCT","Takotna, AK","N625934 W1560405"
"TLJ","TLJ","Tatalina, AK","N625340 W1555835"
"A27","A27","Pogo Mines, AK","N592603 W1514228"
"AET","AET","Allakaket, AK","N663307 W1523720"
"AKP","AKP","Anaktuvuk Pass, AK","N680801 W1514436"
"ARC","ARC","Arctic Village, AK","N680658 W1453434"
"BIG","BIG","Big Delta, AK","N635943 W1454312"
"BTT","BTT","Bettles, AK","N665455 W1513141"
"CEM","CEM","Central, AK","N653426 W1444660"
"CIK","CIK","Chalkyitsik, AK","N663842 W1434424"
"HSL","HSL","Huslia, AK","N654151 W1562104"
"HUS","HUS","Hughes, AK","N660228 W1541547"
"IRC","IRC","Circle, AK","N654950 W1440433"
"KYU","KYU","Koyukuk, AK","N645234 W1574338"
"MLY","MLY","Manley Hot Springs, AK","N645951 W1503839"
"MNT","MNT","Minto, AK","N650837 W1492212"
"MRI","MRI","Anchorage, AK","N611252 W1495046"
"RMP","RMP","Rampart, AK","N653028 W1500827"
"SHX","SHX","Shageluk, AK","N624142 W1593409"
"SVS","SVS","Stevens Village, AK","N660032 W1490545"
"TAL","TAL","Tanana, AK","N651028 W1520634"
"WBQ","WBQ","Beaver, AK","N662142 W1472404"
"AKI","AKI","Akiak, AK","N605410 W1611350"
"ATT","ATT","Atmautluak, AK","N605200 W1621623"
"BET","BET","Bethel, AK","N604647 W1615017"
"CYF","CYF","Chifornak, AK","N600857 W1641708"
"EEK","EEK","Eek, AK","N601257 W1620020"
"GNU","GNU","Goodnews Bay, AK","N590703 W1613439"
"KKH","KKH","Kongiganak, AK","N595739 W1625252"
"KKI","KKI","Akiachak, AK","N605416 W1612515"
"KLG","KLG","Kalskag, AK","N613211 W1602029"
"KPN","KPN","Kipnuk, AK","N595559 W1640150"
"KUK","KUK","Kasigluk, AK","N605219 W1623129"
"KWK","KWK","Kwigillingok, AK","N595235 W1631003"
"KWN","KWN","Quinhagak, AK","N594525 W1615246"
"KWT","KWT","Kwethluk, AK","N604725 W1612637"
"MLL","MLL","Marshall, AK","N615157 W1620409"
"NME","NME","Nightmute, AK","N602813 W1644108"
"NUP","NUP","Nunapitchuk, AK","N605421 W1622621"
"OOK","OOK","Toksook, AK","N603200 W1650650"
"PKA","PKA","Napaskiak, AK","N604210 W1614642"
"PTU","PTU","Platinum, AK","N590041 W1614911"
"RSH","RSH","Russian Mission, AK","N614647 W1611910"
"TLT","TLT","Tuluksak, AK","N610549 W1605810"
"TNK","TNK","Tununak, AK","N603432 W1651623"
"TOG","TOG","Togiak, AK","N590310 W1602349"
"WNA","WNA","Napakiak, AK","N604125 W1615843"
"WTL","WTL","Tuntatuliak, AK","N602007 W1624001"
"WWT","WWT","Newtok, AK","N605621 W1643828"
"AKN","AKN","King Salmon, AK","N584036 W1563857"
"ANI","ANI","Aniak, AK","N613454 W1593235"
"BRW","BRW","Barrow, AK","N711708 W1564558"
"CDV","CDV","Cordova, AK","N602931 W1452840"
"DLG","DLG","Dillingham, AK","N590243 W1583012"
"EMK","EMK","Emmonak, AK","N624707 W1642928"
"ENA","ENA","Kenai, AK","N603423 W1511442"
"GBH","GBH","Galbraith Lake, AK","N682845 W1492924"
"HPB","HPB","Hooper Bay, AK","N613127 W1660848"
"UNK","UNK","Unalakleet, AK","N635318 W1604756"
"VDZ","VDZ","Valdez, AK","N610802 W1461454"
"CHU","CHU","Chuathbaluk, AK","N613459 W1591409"
"CKD","CKD","Crooked Creek, AK","N615204 W1580806"
"SLQ","SLQ","Sleetmute, AK","N614202 W1570957"
"ABL","ABL","Ambler, AK","N670622 W1575113"
"BKC","BKC","Buckland, AK","N655856 W1610907"
"DRG","DRG","Deering, AK","N660410 W1624559"
"ELI","ELI","Elim, AK","N643653 W1621618"
"GAM","GAM","Gambell, AK","N634560 W1714358"
"GLV","GLV","Golovin, AK","N643302 W1630026"
"IAN","IAN","Kiana, AK","N665846 W1602609"
"KKA","KKA","Koyuk, AK","N645602 W1610929"
"KTS","KTS","Teller Mission, AK","N651953 W1662747"
"KVL","KVL","Kivalina, AK","N674410 W1643349"
"LUR","LUR","Cape Lisburne, AK","N685230 W1660636"
"OBU","OBU","Kobuk, AK","N665433 W1565140"
"OME","OME","Nome, AK","N643044 W1652643"
"RDB","RDB","Red Dog, AK","N680156 W1625357"
"SHG","SHG","Shungnak, AK","N665321 W1570902"
"SHH","SHH","Shishmaref, AK","N661458 W1660522"
"SKK","SKK","Shaktoolik, AK","N642215 W1611326"
"SMK","SMK","St. Michael, AK","N632924 W1620637"
"SVA","SVA","Savoonga, AK","N634111 W1702933"
"TLA","TLA","Teller, AK","N651425 W1662022"
"TNC","TNC","Tin City, AK","N653347 W1675518"
"WAA","WAA","Wales, AK","N653726 W1680557"
"WBB","WBB","Stebbins, AK","N633058 W1621641"
"WLK","WLK","Selawik, AK","N663600 W1595910"
"WMO","WMO","White Mountain, AK","N644121 W1632445"
"CEX","CEX","Chena Hot Springs, AK","N650307 W1460251"
"CXF","CXF","Coldfoot, AK","N671506 W1501224"
"KBC","KBC","Birch Creek, AK","N661626 W1454927"
"LMA","LMA","Lake Minchumina, AK","N635310 W1521807"
"MHM","MHM","Minchumina, AK","N635250 W1521802"
"TKJ","TKJ","Tok, AK","N631744 W1430022"
"UTO","UTO","Utopia, AK","N655934 W1534214"
"ABI","ABI","Abilene, TX","N322441 W0994055"
"COS","COS","Colorado Springs, CO","N384821 W1044201"
"CRP","CRP","Corpus Christi, TX","N274613 W0973004"
"EGE","EGE","Eagle, CO","N393833 W1065504"
"ELP","ELP","El Paso, TX","N314824 W1062240"
"FAT","FAT","Fresno, CA","N364634 W1194305"
"GJT","GJT","Grand Junction, CO","N390721 W1083136"
"HDN","HDN","Steamboat Springs/Hayden, CO","N402852 W1071304"
"JAC","JAC","Jackson, WY","N433626 W1104416"
"MFE","MFE","Mission/Mcallen/Edinburg, TX","N261033 W0981419"
"MTJ","MTJ","Montrose/Delta, CO","N383032 W1075338"
"PSP","PSP","Indio/Palm Springs, CA","N334947 W1163024"
"SFB","SFB","Orlando, FL","N284640 W0811415"
"ADK","ADK","Adak Island, AK","N515241 W1763846"
"BLI","BLI","Bellingham, WA","N484734 W1223215"
"EUG","EUG","Eugene, OR","N440724 W1231307"
"JNU","JNU","Juneau, AK","N582118 W1343435"
"KTN","KTN","Ketchikan, AK","MIAMI"
"PSG","PSG","Petersburg, AK","N564806 W1325643"
"PUW","PUW","Pullman, WA","N464438 W1170634"
