"","name","City","Position"
"WRG","WRG","Wrangell, AK","N562904 W1322211"
"YAK","YAK","Yakutat, AK","N593012 W1393937"
"BQN","BQN","Aguadilla, PR","N182942 W0670746"
"LGB","LGB","Long Beach, CA","N334904 W1180906"
"PSE","PSE","Ponce, PR","N180030 W0663347"
"A23","A23","Bradley Lake, AK","N565311 W1340930"
"AUK","AUK","Alakanuk, AK","N624048 W1643936"
"CDB","CDB","Cold Bay, AK","N551220 W1624327"
"CLP","CLP","Clarks Point, AK","N585032 W1583243"
"CZF","CZF","Cape Romanzof, AK","N614649 W1660219"
"DRF","DRF","Drift River, AK","N603522 W1520928"
"DUT","DUT","Dutch Harbor, AK","N535400 W1663237"
"EHM","EHM","Cape Newenham, AK","N583847 W1620346"
"KEK","KEK","Ekwok, AK","N592114 W1572828"
"KGK","KGK","Koliganek, AK","N594336 W1571533"
"KLL","KLL","Levelock, AK","N590705 W1565155"
"KMO","KMO","Manokotak, AK","N585920 W1590260"
"KNW","KNW","New Stuyahok, AK","N592702 W1571935"
"KOT","KOT","Kotlik, AK","N630150 W1633158"
"KVC","KVC","King Cove, AK","N550659 W1621558"
"MOU","MOU","Mountain Village, AK","N620543 W1634055"
"MYU","MYU","Mekoryuk, AK","N602217 W1661614"
"SCM","SCM","Scammon Bay, AK","N615040 W1653426"
"SXP","SXP","Sheldon Point, AK","N623114 W1645052"
"TWA","TWA","Twin Hills, AK","N590432 W1601623"
"VAK","VAK","Chevak, AK","N613201 W1653501"
"WKK","WKK","Aleknagik, AK","N591657 W1583704"
"ATK","ATK","Atqasuk, AK","N702802 W1572609"
"LVD","LVD","Lime Village, AK","N612133 W1552626"
"PQS","PQS","Pilot Station, AK","N615604 W1625358"
"RDV","RDV","Red Devil, AK","N614716 W1572053"
"AGN","AGN","Angoon, AK","N573013 W1343506"
"ELV","ELV","Elfin Cove, AK","N581143 W1362051"
"PEC","PEC","Pelican, AK","N575719 W1361411"
"TKE","TKE","Tenakee, AK","N574647 W1351306"
"DOF","DOF","Dora Bay, AK","N551400 W1321300"
"EDA","EDA","Edna Bay, AK","N555656 W1333943"
"FVX","FVX","Grace Harbor, AK","N372127 W782616"
"HYG","HYG","Hydaburg, AK","N551223 W1324942"
"KCC","KCC","Coffman Cove, AK","N560053 W1325002"
"KPB","KPB","Point Baker, AK","N562107 W1333721"
"NKI","NKI","Naukiti, AK","N555059 W1331340"
"PPV","PPV","Port Protection, AK","N561944 W1333636"
"WHD","WHD","Hyder, AK","N555412 W1300024"
"WWP","WWP","Whale Pass, AK","N560659 W1330718"
"ZXH","ZXH","Chomondely Sound, AK","N551421 W1320651"
"ILI","ILI","Iliamna, AK","N594514 W1545439"
"NLG","NLG","Nelson Lagoon, AK","N560027 W1610937"
"AKB","AKB","Atka, AK","N521313 W1741223"
"BSZ","BSZ","Bartletts, AK","N581401 W1572101"
"EGX","EGX","Egegik, AK","N581108 W1572232"
"IGG","IGG","Igiugig, AK","N591925 W1555412"
"IKO","IKO","Nikolski, AK","N525630 W1685056"
"KCG","KCG","Chignik Fisheries, AK","N561904 W1583526"
"KCL","KCL","Chignik Lagoon, AK","N561840 W1583203"
"KCQ","KCQ","Chignik, AK","N561841 W1582224"
"KFP","KFP","False Pass, AK","N545051 W1632437"
"KNK","KNK","Kokhanok, AK","N592559 W1545827"
"KPV","KPV","Perryville, AK","N555429 W1590931"
"KQA","KQA","Akutan, AK","N540802 W1654642"
"PIP","PIP","Pilot Point, AK","N573449 W1573403"
"PML","PML","Port Moller, AK","N560021 W1603338"
"PTH","PTH","Port Heiden, AK","N565734 W1583755"
"SDP","SDP","Sandpoint, AK","N551854 W1603104"
"SNP","SNP","St. Paul, AK","N571002 W1701314"
"STG","STG","St. George Island, AK","N563438 W1693949"
"UGB","UGB","Pilot Point, AK","N572531 W1574424"
"WSN","WSN","South Naknek, AK","N584212 W1570030"
"CZN","CZN","Chisana, AK","N620416 W1420254"
"HKB","HKB","Healy Lake, AK","N635203 W1485808"
"BVU","BVU","Beluga, AK","N355651 W1145140"
"SKW","SKW","Skwentna, AK","N615755 W1511129"
"TYE","TYE","Tyonek, AK","N610436 W1510817"
"XWA","XWA","Granite Point, AK","N605742 W1511954"
"NNL","NNL","Nondalton, AK","N595845 W1545023"
"PDB","PDB","Pedro Bay, AK","N594723 W1540726"
"PTA","PTA","Port Alsworth, AK","N601216 W1541908"
"PVY","PVY","Pope Vanoy, AK","N591900 W1545500"
"GST","GST","Gustavus, AK","N582531 W1354227"
"HNH","HNH","Hoonah, AK","N580552 W1352418"
"HNS","HNS","Haines, AK","N591441 W1353110"
"KAE","KAE","Kake, AK","N565741 W1335437"
"SGY","SGY","Skagway, AK","N592736 W1351856"
"ATW","ATW","Appleton, WI","N441527 W0883110"
"GUC","GUC","Gunnison, CO","N383202 W1065559"
"SWO","SWO","Stillwater, OK","N360937 W0970509"
"BIL","BIL","Billings, MT","N454828 W1083234"
"BZN","BZN","Bozeman, MT","N454637 W1110911"
"DLH","DLH","Duluth, MN","N465032 W0921137"
"FAR","FAR","Fargo, ND","N465512 W0964857"
"FSD","FSD","Sioux Falls, SD","N433453 W0964430"
"GRB","GRB","Green Bay/Clintonville, WI","N442906 W0880747"
"GTF","GTF","Great Falls, MT","N472855 W1112214"
"IDA","IDA","Idaho Falls, ID","N433049 W1120415"
"MBS","MBS","Saginaw/Bay City/Midland, MI","N433158 W0840447"
"MOT","MOT","Minot, ND","N481534 W1011649"
"MSO","MSO","Missoula, MT","N465459 W1140526"
"ABR","ABR","Aberdeen, SD","N452657 W0982519"
"AZO","AZO","Kalamazoo, MI","N421406 W0853307"
"BIS","BIS","Bismarck/Mandan, ND","N464622 W1004445"
"COU","COU","Columbia, MO","N384905 W0921310"
"DAL","DAL","Dallas, TX","N325050 W0965106"
"ECP","ECP","Panama City, FL","N302130 W854744"
"EVV","EVV","Evansville, IN","N380217 W0873150"
"FWA","FWA","Fort Wayne, IN","N405842 W0851143"
"GFK","GFK","Grand Forks, ND","N475657 W0971034"
"LAN","LAN","Lansing, MI","N424643 W0843514"
"LNK","LNK","Lincoln, NE","N405104 W0964533"
"LSE","LSE","La Crosse, WI","N435244 W0911525"
"MQT","MQT","Marquette, MI","N462113 W0872345"
"PIA","PIA","Peoria, IL","N403951 W0894136"
"PLN","PLN","Pellston, MI","N453415 W0844748"
"RST","RST","Rochester, MN","N435426 W0922956"
"TVC","TVC","Traverse City, MI","N444429 W0853456"
"LJN","LJN","Lake Jackson, TX","N290631 W0952743"
"EFD","EFD","Houston, TX","N293626 W0950932"
"FOE","FOE","Topeka, KS","N385703 W0953949"
"FRG","FRG","Farmingdale, NY","N404344 W0732448"
"PTK","PTK","Pontiac, MI","N423955 W0832507"
"RAP","RAP","Rapid City, SD","N440243 W1030327"
"AZA","AZA","Phoenix, AZ","N331828 W1113920"
"BFL","BFL","Bakersfield, CA","N352601 W1190324"
"HRL","HRL","Harlingen/San Benito, TX","N261343 W0973916"
"TWF","TWF","Twin Falls, ID","N422854 W1142916"
"BED","BED","Bedford, MA","N422812 W0711721"
"BKL","BKL","Cleveland, OH","N413103 W0814100"
"BQK","BQK","Brunswick, GA","N311532 W0812759"
"CMI","CMI","Champaign/Urbana, IL","N400221 W0881641"
"GCK","GCK","Garden City, KS","N375539 W1004328"
"LCK","LCK","Columbus, OH","N394850 W0825540"
"MQY","MQY","Smyrna, TN","N360032 W0863112"
"PSM","PSM","Portsmouth, NH","N430441 W0704924"
"RFD","RFD","Rockford, IL","N421143 W0890550"
"SUS","SUS","St. Louis, MO","N383943 W0903904"
"YIP","YIP","Detroit, MI","N421417 W0833149"
"ILG","ILG","Wilmington, DE","N394043 W0753624"
"MHK","MHK","Manhattan/Ft. Riley, KS","N390827 W0964015"
"PVU","PVU","Provo, UT","N401309 W1114324"
"ESD","ESD","Eastsound, WA","N484229 W1225438"
"FRD","FRD","Friday Harbor, WA","N483119 W1230128"
"OTS","OTS","Anacortes, WA","N482956 W1223945"
"PNE","PNE","Philadelphia, PA","N400455 W0750038"
"ASE","ASE","Aspen, CO","N391323 W1065208"
"DRO","DRO","Durango, CO","N370905 W1074514"
"AHN","AHN","Athens, GA","N335655 W0831935"
"ALM","ALM","Alamogordo, NM","N325024 W1055926"
"CNM","CNM","Carlsbad, NM","N322015 W1041548"
"HNM","HNM","Hana, HI","N204744 W1560052"
"HOB","HOB","Hobbs, NM","N324115 W1031301"
"LUP","LUP","Kalaupapa, HI","N211240 W1565825"
"MCN","MCN","Macon, GA","N324134 W0833857"
"MKL","MKL","Jackson, TN","N353560 W0885456"
"MUE","MUE","Kamuela, HI","N200005 W1554005"
"OWB","OWB","Owensboro, KY","N374424 W0871001"
"BID","BID","Block Island, RI","N411005 W0713440"
"WST","WST","Westerly, RI","N412059 W0714812"
"FYV","FYV","Fayetteville, AR","N360018 W0941012"
"LAF","LAF","Lafayette, IN","N402444 W0865613"
"LAR","LAR","Laramie, WY","N411843 W1054030"
"ACV","ACV","Eureka/Arcata, CA","N405841 W1240631"
"BTM","BTM","Butte, MT","N455717 W1122951"
"CDC","CDC","Cedar City, UT","N374203 W1130556"
"CEC","CEC","Crescent City, CA","N414649 W1241412"
"CIC","CIC","Chico, CA","N394743 W1215130"
"CLD","CLD","Carlsbad, CA","N330742 W1171648"
"CMX","CMX","Hancock/Houghton, MI","N471006 W0882921"
"COD","COD","Cody, WY","N443113 W1090126"
"CPR","CPR","Casper, WY","N425429 W1062752"
"CWA","CWA","Wausau/Marshfield, WI","N444639 W0894000"
"EAU","EAU","Eau Claire, WI","N445155 W0912906"
"EKO","EKO","Elko, NV","N404930 W1154730"
"FCA","FCA","Kalispell, MT","N481841 W1141518"
"GCC","GCC","Gillette, WY","N442056 W1053222"
"HLN","HLN","Helena, MT","N463625 W1115858"
"IPL","IPL","El Centro, CA","N325003 W1153443"
"IYK","IYK","Inyokern, CA","N353932 W1174947"
"LMT","LMT","Klamath Falls, OR","N420922 W1214360"
"LWS","LWS","Lewiston, ID","N462228 W1170055"
"MFR","MFR","Medford, OR","N422227 W1225225"
"MKG","MKG","Muskegon, MI","N431010 W0861418"
"MMH","MMH","Mammoth Lakes, CA","N373727 W1185016"
"MOD","MOD","Modesto, CA","N373733 W1205716"
"MRY","MRY","Monterey, CA","N363513 W1215035"
"OTH","OTH","North Bend/Coos Bay, OR","N432502 W1241446"
"PAH","PAH","Paducah, KY","N370339 W0884626"
"PIH","PIH","Pocatello, ID","N425435 W1123545"
"PSC","PSC","Pasco/Kennewick/Richland, WA","N461553 W1190709"
"RDD","RDD","Redding, CA","N403032 W1221736"
"RDM","RDM","Bend/Redmond, OR","N441515 W1210860"
"RKS","RKS","Rock Springs, WY","N413539 W1090355"
"SBA","SBA","Santa Barbara, CA","N342534 W1195025"
"SBP","SBP","San Luis Obispo/Paso Robles, CA","N351413 W1203831"
"SGU","SGU","St. George, UT","N370526 W1133535"
"SMX","SMX","Santa Maria, CA","N345356 W1202727"
"SPI","SPI","Springfield, IL","N395039 W0894040"
"SUN","SUN","Sun Valley/Hailey/Ketchum, ID","N433015 W1141745"
"YUM","YUM","Yuma, AZ","N323924 W1143622"
"BLD","BLD","Boulder City, NV","N355651 W1145140"
"DQR","DQR","Peach Springs, AZ","N355919 W1134836"
"GCN","GCN","Grand Canyon, AZ","N355708 W1120849"
"PGA","PGA","Page, AZ","N365534 W1112654"
"SDX","SDX","Sedona, AZ","N345055 W1114718"
"TVL","TVL","Lake Tahoe, CA","N385338 W1195943"
"AIA","AIA","Alliance, NE","N420312 W1024814"
"ALS","ALS","Alamosa, CO","N372606 W1055160"
"BFF","BFF","Scottsbluff, NE","N415226 W1033544"
"CDR","CDR","Chadron, NE","N425015 W1030544"
"CEZ","CEZ","Cortez, CO","N371811 W1083741"
"CNY","CNY","Moab, UT","N384518 W1094517"
"CVN","CVN","Clovis, NM","N342530 W1030445"
"CYS","CYS","Cheyenne, WY","N410921 W1044843"
"DDC","DDC","Dodge City, KS","N374548 W0995756"
"DIK","DIK","Dickinson, ND","N464750 W1024807"
"EAR","EAR","Kearney, NE","N404337 W0990024"
"ELY","ELY","Ely, NV","N391759 W1145031"
"FMN","FMN","Farmington, NM","N364428 W1081348"
"GBD","GBD","Great Bend, KS","N382040 W0985133"
"GDV","GDV","Glendive, MT","N470819 W1044826"
"GGW","GGW","Glasgow, MT","N481245 W1063653"
"GRI","GRI","Grand Island, NE","N405803 W0981835"
"HON","HON","Huron, SD","N442307 W0981343"
"HVR","HVR","Havre, MT","N483235 W1094544"
"HYS","HYS","Hays, KS","N385042 W0991627"
"IGM","IGM","Kingman, AZ","N351534 W1135617"
"ISN","ISN","Williston, ND","N481041 W1033832"
"IWD","IWD","Ironwood, MI","N463139 W0900753"
"JLN","JLN","Joplin, MO","N370906 W0942954"
"LBF","LBF","North Platte, NE","N410734 W1004101"
"LBL","LBL","Liberal, KS","N370239 W1005736"
"LWT","LWT","Lewistown, MT","N470257 W1092800"
"MBL","MBL","Manistee/Ludington, MI","N441621 W0861449"
"MCE","MCE","Merced, CA","N371705 W1203050"
"MCK","MCK","Mccook, NE","N401223 W1003532"
"MLS","MLS","Miles City, MT","N462541 W1055310"
"OLF","OLF","Wolf Point, MT","N480540 W1053430"
"PIR","PIR","Pierre, SD","N442258 W1001709"
"PRC","PRC","Prescott, AZ","N343916 W1122510"
"PUB","PUB","Pueblo, CO","N381721 W1042948"
"RHI","RHI","Rhinelander, WI","N453752 W0892803"
"RIW","RIW","Riverton/Lander, WY","N430351 W1082735"
"SDY","SDY","Sidney, MT","N474225 W1041133"
"SHR","SHR","Sheridan, WY","N444609 W1065849"
"SOW","SOW","Show Low, AZ","N341556 W1100020"
"SVC","SVC","Silver City/Hurley, NM","N323812 W1080923"
"TBN","TBN","Fort Leonard Wood, MO","N374430 W0920827"
"TEX","TEX","Telluride, CO","N375714 W1075431"
"VEL","VEL","Vernal, UT","N402627 W1093036"
"VIS","VIS","Visalia, CA","N361907 W1192334"
"WRL","WRL","Worland, WY","N435757 W1075703"
"DHN","DHN","Dothan, AL","N311917 W0852659"
"FFO","FFO","Dayton, OH","N394930 W0840248"
"FNL","FNL","Ft. Collins/Loveland, CO","N402707 W1050041"
"FTW","FTW","Dallas/Ft.Worth, TX","N324911 W0972145"
"IFP","IFP","Bullhead City, AZ","N350927 W1143334"
"ISO","ISO","Kinston, NC","N351942 W0773643"
"LRD","LRD","Laredo, TX","N273237 W0992742"
"PAM","PAM","Panama City, FL","N300412 W0853435"
"PGD","PGD","Punta Gorda, FL","N265513 W0815926"
"SCK","SCK","Stockton, CA","N375339 W1211419"
"TOL","TOL","Toledo, OH","N413512 W0834828"
"YNG","YNG","Youngstown, OH","N411539 W0804045"
"ALW","ALW","Walla Walla, WA","N460540 W1181717"
"EAT","EAT","Wenatchee, WA","N472356 W1201225"
"STS","STS","Santa Rosa, CA","N383032 W1224846"
"YKM","YKM","Yakima, WA","N463405 W1203239"
"SIG","SIG","San Juan, PR","N182724 W0660556"
"SPB","SPB","Charlotte Amalie, VI","N454616 W1225143"
"SSB","SSB","Christiansted, VI","N174449 W0644218"
"VQS","VQS","Vieques, PR","N180805 W652937"
"CEF","CEF","Chicopee Falls, MA","N421154 W0723203"
"CSG","CSG","Columbus, GA","N323059 W0845620"
"IAG","IAG","Niagara Falls, NY","N430626 W0785644"
"LBE","LBE","Latrobe, PA","N401633 W0792417"
"ORH","ORH","Worcester, MA","N421602 W0715233"
"RME","RME","Rome, NY","N431402 W0752425"
"MEI","MEI","Meridian, MS","N321959 W0884504"
"VLD","VLD","Valdosta, GA","N304657 W0831636"
"CLM","CLM","Port Angeles, WA","N480713 W1232959"
"KEH","KEH","Kenmore, WA","N474526 W1221526"
"LKE","LKE","Seattle, WA","N473744 W1222019"
"LPS","LPS","Lopez Island, WA","N482857 W1225613"
"PWT","PWT","Bremerton, WA","N472934 W1224545"
"RCE","RCE","Roche Harbor, WA","N352917 W974925"
"WSX","WSX","Westsound, WA","N483704 W1225710"
"BRO","BRO","Brownsville, TX","N255425 W0972533"
"JQF","JQF","Cabarrus, NC","N352316 W804233"
"NYL","NYL","Yuma M. C. A. S., AZ","N323924 W1143622"
"ALO","ALO","Waterloo, IA","N423325 W0922401"
"APN","APN","Alpena, MI","N450441 W0833337"
"ATY","ATY","Watertown, SD","N445450 W0970917"
"BJI","BJI","Bemidji, MN","N473034 W0945601"
"BRD","BRD","Brainerd, MN","N462352 W0940814"
"CIU","CIU","Sault Ste Marie, MI","N461503 W0842821"
"DVL","DVL","Devils Lake, ND","N480651 W0985432"
"ESC","ESC","Escanaba, MI","N454322 W0870537"
"FOD","FOD","Fort Dodge, IA","N423305 W0941133"
"HIB","HIB","Chisholm/Hibbing, MN","N472312 W0925020"
"IMT","IMT","Iron Mountain/Kingsfd, MI","N454906 W0880652"
"INL","INL","International Falls, MN","N483358 W0932411"
"JMS","JMS","Jamestown, ND","N465547 W0984041"
"MCW","MCW","Mason City, IA","N430928 W0931953"
"MSL","MSL","Muscle Shoals, AL","N344443 W0873637"
"PIB","PIB","Hattiesburg/Laurel, MS","N312802 W0892013"
"SUX","SUX","Sioux City, IA","N422409 W0962304"
"TUP","TUP","Tupelo, MS","N341605 W0884612"
"TVF","TVF","Thief River Falls, MN","N480356 W0961100"
"ACK","ACK","Nantucket, MA","N411511 W0700337"
"AFK","AFK","Nebraska, NE","N403620 W955204"
"BEH","BEH","Benton Harbor/St. Joseph, MI","N420743 W0862543"
"EEN","EEN","Keene, NH","N425354 W0721615"
"IOW","IOW","Iowa City, IA","N413821 W0913247"
"LEB","LEB","Lebanon-Hanover, NH","N433734 W0721815"
"MPV","MPV","Montpelier/Barre, VT","N441213 W0723344"
"MVY","MVY","Martha's Vineyrd, MA","N412335 W0703652"
"OXC","OXC","Waterbury, CT","N412843 W0730807"
"PVC","PVC","Provincetown, MA","N420419 W0701317"
"PWK","PWK","Chicago, IL","N420651 W0875405"
"PYM","PYM","Plymouth, MA","N415432 W0704344"
"RIL","RIL","Rifle, CO","N393135 W1074337"
"1G4","1G4","Peach Springs, AZ","N355925 W1134859"
"VGT","VGT","Las Vegas, NV","N361242 W1151145"
"BRL","BRL","Burlington, IA","N404660 W0910732"
"DEC","DEC","Decatur, IL","N395004 W0885156"
"DBQ","DBQ","Dubuque, IA","N422407 W0904234"
"ROW","ROW","Roswell, NM","N331806 W1043150"
"SAF","SAF","Santa Fe, NM","N353700 W1060517"
"AND","AND","Anderson, SC","N342942 W0824232"
"BMG","BMG","Bloomington, IN","N390846 W0863700"
"DET","DET","Detroit, MI","N422433 W0830036"
"LUK","LUK","Cincinnati, OH","N390612 W0842507"
"TCL","TCL","Tuscaloosa, AL","N331314 W0873641"
"ENV","ENV","Wendover, UT","N404307 W1140151"
"ROG","ROG","Rogers, AR","N362221 W0940625"
"GYY","GYY","Gary, IN","N413659 W0872446"
"OPF","OPF","Miami, FL","N255425 W0801642"
"ORL","ORL","Orlando, FL","N283244 W0811959"
"SCF","SCF","Phoenix, AZ","N333722 W1115438"
"SDM","SDM","San Diego, CA","N323420 W1165849"
"TRM","TRM","Thermal, CA","N333740 W1160936"
"VNY","VNY","Van Nuys, CA","N341235 W1182924"
"ART","ART","Watertown, NY","N435931 W0760118"
"AUG","AUG","Augusta/Waterville, ME","N441914 W0694750"
"CGI","CGI","Cape Girardeau, MO","N371331 W0893415"
"EWB","EWB","New Bedford/Fall River, MA","N414034 W0705725"
"HGR","HGR","Hagerstown, MD","N394229 W0774346"
"HYA","HYA","Hyannis, MA","N414010 W0701649"
"IRK","IRK","Kirksville, MO","N400537 W0923242"
"LNS","LNS","Lancaster, PA","N400718 W0761746"
"MAZ","MAZ","Mayaguez, PR","N181520 W0670854"
"MSS","MSS","Massena, NY","N445609 W0745044"
"MWA","MWA","Marion/Herrin, IL","N374511 W0890042"
"OGS","OGS","Ogdensburg, NY","N444055 W0752756"
"RKD","RKD","Rockland, ME","N440336 W0690557"
"RUT","RUT","Rutland, VT","N433148 W0725659"
"SLK","SLK","Saranac Lake/Lake Placid, NY","N442307 W0741222"
"UIN","UIN","Quincy, IL","N395634 W0911140"
"FLG","FLG","Flagstaff, AZ","N350818 W1114016"
"ITO","ITO","Hilo, HI","N194313 W1550254"
"AST","AST","Astoria/Seaside, OR","N460929 W1235243"
"ELD","ELD","El Dorado, AR","N331315 W0924848"
"HOT","HOT","Hot Springs, AR","N342841 W0930546"
"HRO","HRO","Harrison, AR","N361542 W0930917"
"JBR","JBR","Jonesboro, AR","N354955 W0903846"
"ONP","ONP","Newport, OR","N443449 W1240328"
"PDT","PDT","Pendleton, OR","N454142 W1185029"
"SLN","SLN","Salina, KS","N384729 W0973902"
"STC","STC","St. Cloud, MN","N453248 W0940336"
"STJ","STJ","St. Joseph, MO","N394619 W0945435"
"PPG","PPG","Pago Pago, TT","S141954 W1704241"
"CPX","CPX","Culebra, PR","N181848 W651816"
"JRV","JRV","Ceiba, PR","N181443 W0653836"
"DWH","DWH","Houston, TX","N300343 W0953310"
"MXY","MXY","Mccarthy, AK","N612613 W1425413"
"SVW","SVW","Sparrevohn, AK","N610551 W1553427"
"CFA","CFA","Coffee Point, AK","N581300 W1573000"
"FXE","FXE","Fort Lauderdale, FL","N261150 W0801015"
"LFI","LFI","Newport News/Wmsburg, VA","N370458 W0762138"
"FPR","FPR","Fort Pierce, FL","N272942 W0802206"
